fish_name,tank_volume_m3,fish_count,initial_weight_g,stocking_density_fish_m3,temperature,ph,dissolved_oxygen,ammonia,nitrite,alkalinity,feed_protein_percent,daily_feed_kg,culture_period_days,final_weight_g,final_biomass_kg,survival_rate_percent,fcr
Tilapia,53.7,7058,50.9,131.43,27.6,7.85,4.49,0.18,0.45,166.3,27.9,8.514,196,123.63,813.0,93.17,1.24
Catla,64.5,5031,65.2,78.0,26.9,6.75,4.07,0.3,0.46,107.5,33.8,8.135,162,115.97,496.81,85.15,1.75
Pabda,89.5,9462,43.3,105.72,28.7,6.67,4.99,0.44,0.04,130.6,27.3,9.587,202,86.37,689.53,84.37,1.67
Shing,80.4,4775,75.9,59.39,30.2,8.38,4.24,0.52,0.49,166.6,26.3,9.206,98,108.73,421.33,81.15,1.48
Thai Koi,75.2,8946,11.3,118.96,31.2,6.76,6.66,0.24,0.04,82.5,34.8,3.012,132,18.88,148.61,87.98,1.42
Silver Carp,45.1,2600,68.4,57.65,24.8,8.37,3.63,0.49,0.15,106.8,33.4,4.339,110,102.83,208.41,77.95,1.83
Thai Koi,39.3,1494,13.0,38.02,28.5,7.49,6.39,0.97,0.4,113.6,33.8,0.353,180,26.71,33.53,84.02,1.36
Silver Carp,74.1,9059,42.4,122.25,24.4,7.21,3.87,1.01,0.97,118.9,27.0,8.297,173,67.37,366.16,60,1.78
Common Carp,55.0,302,76.3,5.49,25.7,7.26,6.34,0.78,0.68,84.9,31.4,0.445,234,147.35,34.03,76.47,1.76
Tilapia,55.6,8442,19.9,151.83,31.9,7.74,6.45,0.49,0.04,175.3,27.0,3.226,160,39.59,289.48,86.61,1.31
Silver Carp,73.4,5198,74.3,70.82,29.5,7.22,4.48,0.26,0.95,127.2,30.0,9.424,103,107.53,457.38,81.83,1.82
Gulsha,24.0,4404,44.7,183.5,30.0,7.62,5.16,0.66,0.67,76.3,25.1,5.788,110,64.78,199.59,69.96,1.7
Rohu,21.8,7691,80.0,352.8,25.9,6.63,5.03,0.23,0.76,78.9,33.1,11.567,142,117.5,649.21,71.84,1.88
Rohu,84.9,6646,26.2,78.28,31.2,7.04,7.32,0.94,0.6,117.9,32.3,3.03,187,46.5,242.47,78.45,1.91
Tilapia,75.3,3019,27.8,40.09,30.4,6.63,5.82,0.88,0.94,84.7,30.0,1.939,136,48.57,108.53,74.02,1.42
Common Carp,48.0,1440,55.6,30.0,25.0,7.7,5.05,0.2,0.67,128.0,28.9,1.986,143,95.03,112.98,82.56,1.66
Tilapia,48.1,1003,22.9,20.85,28.5,8.45,5.62,0.95,0.66,169.1,34.6,0.388,129,39.86,29.6,74.04,1.46
Tilapia,39.1,4662,17.0,119.23,29.1,6.66,5.76,1.12,0.11,90.1,27.4,2.053,179,35.11,115.51,70.57,1.45
Magur,82.5,5089,32.6,61.68,27.9,7.66,6.67,1.18,0.97,83.5,26.7,3.036,141,49.34,166.48,66.3,1.58
Thai Koi,63.1,5860,16.6,92.87,30.9,8.12,6.68,0.1,0.96,124.2,32.7,1.897,192,34.38,171.04,84.9,1.64
Common Carp,34.8,2489,14.0,71.52,28.3,7.66,6.0,0.97,0.03,151.3,34.3,0.976,186,25.17,53.11,84.76,1.6
Common Carp,66.3,2782,8.9,41.96,27.9,7.81,5.3,0.14,0.23,174.3,26.6,0.409,95,12.83,32.81,91.96,1.71
Pabda,90.6,5195,5.1,57.34,30.5,7.61,5.52,0.42,0.28,82.3,26.5,0.548,136,8.93,40.82,88.02,1.62
Koi,92.3,7800,54.8,84.51,30.7,7.64,5.32,0.35,0.98,142.1,28.6,11.712,195,113.61,760.65,85.84,1.39
Silver Carp,67.5,3433,7.1,50.86,26.7,6.56,4.84,1.14,0.15,123.3,29.6,0.47,157,11.0,25.45,67.39,1.86
Rohu,27.3,4703,26.8,172.27,30.3,8.42,6.04,0.4,0.07,99.0,26.0,2.949,161,42.29,155.41,78.14,1.68
Koi,76.4,3050,33.7,39.92,29.1,7.75,4.93,0.62,0.69,98.2,25.6,2.015,166,60.56,144.08,78.0,1.63
Tilapia,76.0,5864,29.8,77.16,28.1,7.31,4.21,0.66,0.32,89.3,26.6,4.98,233,75.5,380.61,85.97,1.41
Magur,98.8,6696,26.3,67.77,31.5,7.52,4.41,0.9,0.2,168.4,32.0,2.976,226,53.85,303.72,84.23,1.46
Rohu,94.7,4002,37.1,42.26,27.7,8.21,6.89,0.16,0.69,137.0,33.1,2.45,233,73.43,231.48,78.77,1.72
Thai Koi,47.6,4285,66.3,90.02,26.2,7.12,4.16,0.98,0.49,112.9,26.5,8.068,221,142.47,521.23,85.38,1.6
Common Carp,82.4,1580,7.7,19.17,27.2,6.67,3.63,0.55,0.32,75.4,33.3,0.296,205,14.46,16.74,73.26,1.64
Koi,94.7,5208,51.8,54.99,29.9,7.51,6.68,0.36,0.07,73.0,29.2,4.775,166,103.9,498.4,92.11,1.53
Catla,42.8,1835,40.3,42.87,32.0,7.03,5.62,0.66,0.39,171.2,33.9,1.775,109,60.82,94.0,84.22,1.8
Pangasius,84.7,1605,21.5,18.95,25.9,7.97,3.8,0.28,0.59,150.7,31.6,0.952,180,41.7,51.04,76.26,1.58
Catla,26.7,8863,58.5,331.95,24.8,7.91,5.32,1.11,0.75,75.3,31.1,10.629,183,93.16,495.39,60,1.83
Pangasius,97.2,847,63.3,8.71,31.8,7.01,3.58,0.07,0.52,175.1,29.9,0.922,229,146.07,96.17,77.73,1.51
Koi,97.9,6059,42.6,61.89,26.0,7.52,6.94,0.87,0.11,89.3,31.1,6.375,112,65.0,328.38,83.38,1.4
Magur,44.2,8667,58.9,196.09,24.2,7.26,3.75,1.04,0.92,125.2,32.7,10.771,111,80.15,416.79,60,1.56
Common Carp,28.2,3905,41.6,138.48,28.3,8.32,4.63,1.07,0.81,96.5,28.3,4.419,219,73.91,184.45,63.91,1.7
Thai Koi,86.1,3556,69.6,41.3,24.0,6.56,3.6,0.76,0.44,165.5,26.2,6.088,204,134.09,349.07,73.21,1.54
Pangasius,46.4,9770,31.2,210.56,29.8,8.35,4.55,0.75,0.56,144.3,31.9,5.822,140,51.93,329.97,65.04,1.48
Mrigal,83.2,2667,43.5,32.06,31.8,7.79,5.59,0.41,0.18,122.1,30.9,1.972,153,71.56,172.59,90.43,1.69
Mrigal,58.2,5347,6.5,91.87,24.8,8.2,7.46,0.65,0.61,71.8,34.7,0.959,145,10.62,43.6,76.74,1.83
Shing,5.2,8101,14.4,1557.88,29.6,7.48,7.23,0.63,0.57,153.5,28.2,3.278,105,20.21,115.24,70.38,1.63
Shing,76.8,4488,55.2,58.44,30.1,7.87,6.4,0.13,0.07,177.1,29.7,7.011,110,87.03,361.58,92.57,1.56
Common Carp,64.9,444,73.3,6.84,24.1,7.9,3.89,0.71,0.45,94.3,29.9,0.807,98,105.13,36.28,77.73,1.63
Gulsha,64.5,1096,6.1,16.99,26.5,8.29,6.64,0.96,0.59,151.8,28.3,0.164,119,9.19,7.35,72.98,1.72
Magur,32.2,6912,11.6,214.66,29.6,7.02,4.57,0.18,0.63,87.3,32.4,2.237,127,18.65,99.28,77.01,1.78
Koi,82.9,3013,35.6,36.34,29.2,6.98,7.06,0.5,0.29,146.1,26.8,1.984,202,79.1,220.86,92.67,1.36
Catla,99.0,8562,28.0,86.48,31.8,7.81,6.92,0.17,0.32,128.7,30.9,3.86,229,54.98,414.94,88.15,1.79
Koi,27.3,8905,20.4,326.19,25.4,7.98,7.16,0.72,0.64,117.4,25.5,3.524,237,40.04,253.62,71.14,1.66
Pabda,30.6,9865,39.3,322.39,29.8,7.14,6.81,0.37,0.68,161.7,32.3,9.925,126,60.82,453.4,75.57,1.86
Mrigal,11.5,1551,39.4,134.87,27.3,7.51,6.57,0.14,0.74,98.3,25.2,1.668,138,62.7,81.35,83.65,1.71
Rohu,60.1,9606,8.7,159.83,30.3,8.13,6.26,0.83,0.2,125.8,28.0,2.048,192,14.51,109.41,78.49,1.83
Catla,60.0,7255,68.0,120.92,31.0,6.94,6.39,0.18,0.12,178.0,31.6,14.11,217,132.11,850.31,88.72,1.75
Rohu,37.0,4894,44.5,132.27,27.3,6.94,3.53,0.06,0.11,85.1,26.5,5.466,98,61.88,254.76,84.12,1.78
Pangasius,71.4,6864,46.3,96.13,26.1,8.37,5.71,0.48,0.55,139.3,30.5,9.312,135,83.96,470.3,81.61,1.33
Magur,56.7,4099,66.6,72.29,26.7,7.23,3.63,0.68,0.55,89.3,31.7,6.06,229,125.24,360.19,70.16,1.83
Gulsha,70.3,6361,37.9,90.48,24.3,8.35,3.95,0.18,0.84,137.6,32.8,5.087,165,64.35,288.11,70.38,1.72
Koi,89.8,4800,27.9,53.45,27.2,8.09,5.69,0.95,0.39,87.3,26.9,3.589,172,52.96,210.6,82.85,1.4
Shing,71.8,4638,62.5,64.6,24.8,6.95,4.72,0.42,0.73,139.2,29.1,7.392,123,100.71,390.39,83.58,1.45
Common Carp,45.1,3028,71.0,67.14,28.3,7.32,3.67,0.45,0.16,109.3,29.4,3.633,100,101.17,251.76,82.18,1.62
Pabda,29.1,9367,70.9,321.89,26.2,7.85,4.75,0.3,0.02,171.7,27.0,11.423,192,127.24,976.63,81.94,1.62
Pangasius,89.5,943,77.3,10.54,28.1,7.68,5.31,0.35,0.11,79.9,30.4,1.254,115,139.98,120.7,91.44,1.45
Common Carp,33.0,2175,66.8,65.91,27.7,8.17,3.72,0.23,0.41,122.4,26.1,3.763,163,120.04,214.25,82.06,1.53
Magur,70.6,8890,16.9,125.92,30.7,7.18,5.45,0.78,0.61,79.7,32.1,3.621,179,30.42,210.8,77.95,1.56
Rohu,9.8,1336,22.8,136.33,30.8,7.81,6.98,0.5,0.98,132.9,30.3,0.576,117,32.99,37.58,85.25,1.69
Koi,89.4,9718,71.4,108.7,30.4,7.61,5.13,0.76,0.11,88.6,26.0,14.155,201,149.01,1246.1,86.05,1.51
Tilapia,46.1,9451,65.9,205.01,25.7,6.78,6.93,0.55,0.6,161.9,31.2,17.937,216,139.82,886.58,67.09,1.56
Thai Koi,72.0,575,15.5,7.99,27.4,7.45,7.44,0.84,0.29,174.1,27.3,0.226,178,28.94,14.07,84.56,1.49
Gulsha,17.9,790,75.7,44.13,29.0,7.94,4.83,0.8,0.42,154.7,27.7,1.633,211,142.31,93.36,83.04,1.74
Thai Koi,98.0,9121,12.0,93.07,26.3,8.13,4.24,0.89,0.82,104.9,33.1,2.386,240,26.03,179.49,75.59,1.63
Tilapia,29.0,9347,15.5,322.31,28.4,6.62,5.9,0.93,1.0,159.7,26.5,4.245,126,24.84,153.66,66.18,1.62
Thai Koi,54.2,7476,48.5,137.93,25.8,7.52,4.57,0.09,0.56,156.8,26.1,6.055,156,88.84,555.56,83.65,1.64
Koi,68.0,3281,23.4,48.25,25.7,7.28,6.9,0.56,0.17,100.4,34.9,1.72,147,41.48,117.13,86.06,1.46
Pabda,88.0,9470,46.8,107.61,30.1,6.63,3.94,0.17,0.77,149.9,34.2,13.074,154,77.53,524.35,71.42,1.77
Shing,87.8,8038,45.1,91.55,27.9,6.56,7.08,0.11,0.22,174.0,27.2,8.265,182,84.11,591.95,87.56,1.57
Pangasius,52.5,7758,29.3,147.77,27.4,6.66,6.76,1.0,0.07,165.4,28.3,5.455,129,48.92,304.36,80.2,1.47
Common Carp,83.5,6216,11.1,74.44,28.6,7.36,3.65,1.08,0.91,113.7,27.7,1.849,139,15.66,59.38,61.01,1.83
Gulsha,90.8,684,53.9,7.53,24.8,7.05,5.08,0.75,0.49,148.1,29.5,0.682,163,95.35,52.8,80.95,1.71
Koi,64.0,2668,30.9,41.69,26.9,8.11,4.04,0.31,0.87,75.8,31.8,2.176,135,52.43,120.84,86.38,1.56
Gulsha,15.8,8147,62.7,515.63,27.7,7.19,5.61,0.96,0.06,142.9,31.6,9.603,221,118.6,735.89,76.16,1.66
Mrigal,96.6,7324,16.5,75.82,30.4,7.03,6.08,0.78,0.89,151.9,26.6,2.719,201,30.67,170.67,75.97,1.91
Thai Koi,19.8,6658,73.5,336.26,26.5,7.61,5.16,0.32,0.36,116.5,26.8,10.717,144,127.83,724.34,85.11,1.45
Silver Carp,66.2,9505,54.3,143.58,24.5,8.4,4.28,0.78,0.15,160.1,34.4,12.077,164,92.5,701.38,79.77,1.6
Gulsha,35.0,9464,59.1,270.4,25.8,7.08,7.28,0.31,0.03,113.4,25.3,14.766,194,112.51,874.85,82.16,1.74
Common Carp,7.4,3844,71.7,519.46,25.9,7.99,4.54,0.57,0.28,126.5,26.7,4.658,180,131.19,378.84,75.12,1.88
Catla,72.8,6459,61.0,88.72,29.8,6.77,6.51,1.19,0.28,131.1,32.4,11.426,107,86.89,392.7,69.97,1.94
Rohu,32.3,9395,59.8,290.87,26.3,8.16,3.87,0.33,0.45,101.3,31.5,11.517,223,106.25,755.36,75.67,1.7
Catla,9.9,4705,26.8,475.25,27.2,8.2,5.81,0.3,0.67,105.7,30.1,3.644,172,46.02,159.42,73.63,1.88
Shing,42.8,8628,47.5,201.59,24.4,6.54,5.53,0.26,0.65,82.1,31.5,9.467,184,89.06,561.17,73.03,1.76
Common Carp,92.8,6553,17.7,70.61,26.3,8.09,6.38,0.41,0.98,93.8,30.7,2.552,167,30.3,163.03,82.12,1.54
Magur,92.0,9079,18.1,98.68,28.0,8.2,5.24,0.7,0.76,144.0,34.2,2.662,146,30.18,212.71,77.62,1.68
Silver Carp,91.6,7377,58.8,80.53,31.2,7.45,5.17,1.0,0.26,169.3,25.9,10.367,99,79.43,481.06,82.1,1.64
Gulsha,88.2,8346,51.7,94.63,28.7,6.57,6.68,1.0,0.33,112.7,29.7,7.033,234,109.23,711.7,78.07,1.69
Catla,61.2,1612,30.6,26.34,31.3,7.64,7.03,1.03,0.49,172.2,34.0,1.001,124,42.66,50.54,73.49,1.92
Magur,79.0,9370,28.0,118.61,24.8,7.51,4.51,0.35,0.15,95.0,31.1,4.093,205,60.33,524.78,92.83,1.53
Silver Carp,31.4,6324,73.9,201.4,28.2,7.57,4.19,0.15,0.86,158.7,28.0,7.851,152,113.16,548.83,76.69,1.93
Pabda,74.3,2572,20.6,34.62,27.7,7.45,7.27,0.93,0.76,109.9,25.3,1.086,234,42.56,81.56,74.51,1.7
Koi,39.6,6212,27.7,156.87,28.3,7.93,3.86,0.11,0.16,90.8,28.5,3.321,145,49.23,238.04,77.84,1.61
Gulsha,39.6,1108,67.7,27.98,31.4,8.0,5.49,0.77,0.28,96.3,26.5,1.283,157,116.24,106.4,82.61,1.71
Shing,90.9,2664,27.0,29.31,31.7,8.37,6.46,0.93,0.3,73.8,30.3,1.367,166,47.88,103.17,80.88,1.62
Pabda,18.8,4779,68.4,254.2,29.4,7.62,3.72,0.33,0.11,178.0,29.0,4.903,101,95.17,348.82,76.69,1.83
Catla,7.0,7384,55.1,1054.86,28.8,8.03,3.87,0.3,0.46,100.9,34.6,10.578,219,104.91,578.04,74.62,1.88
Koi,11.4,5225,19.6,458.33,25.9,7.79,4.16,0.53,0.31,134.3,27.2,1.854,134,33.67,134.13,76.24,1.61
Magur,96.8,4428,5.1,45.74,27.2,7.54,3.82,0.75,0.26,111.2,29.1,0.596,182,9.25,30.69,74.95,1.82
Tilapia,72.7,6464,76.5,88.91,24.7,7.49,5.9,0.06,0.85,125.8,29.2,9.742,228,185.03,1029.3,86.06,1.35
Common Carp,65.3,9522,9.6,145.82,26.4,6.89,4.64,0.07,0.53,120.8,32.7,1.38,133,16.11,129.16,84.21,1.54
Catla,18.4,1417,62.9,77.01,24.7,7.09,5.9,1.04,0.49,94.8,32.0,1.693,164,103.19,105.39,72.07,1.87
Common Carp,53.5,1513,5.6,28.28,28.2,6.51,5.23,0.49,0.6,141.4,31.0,0.156,122,8.65,10.31,78.79,1.57
Silver Carp,84.0,7032,72.3,83.71,24.1,7.2,6.18,0.47,0.55,164.9,25.2,9.66,158,116.13,677.24,82.93,1.79
Mrigal,81.8,3467,63.2,42.38,29.5,7.08,6.46,0.57,0.89,108.7,29.6,5.127,171,107.53,278.83,74.79,1.93
Rohu,20.8,5612,54.2,269.81,26.3,7.59,4.35,0.96,0.05,161.9,33.5,6.388,220,104.91,455.18,77.31,1.82
Thai Koi,62.9,1546,69.1,24.58,29.6,7.39,6.66,0.51,0.8,113.3,33.7,2.575,90,102.16,121.71,77.06,1.73
Thai Koi,38.9,4887,56.2,125.63,25.2,8.39,5.12,0.38,0.64,162.0,30.1,4.23,234,117.16,453.3,79.17,1.37
Catla,33.5,7743,36.7,231.13,30.9,7.11,4.38,0.81,0.85,154.2,32.2,5.769,149,56.25,303.18,69.61,1.71
Tilapia,36.0,3991,69.4,110.86,30.6,6.53,6.17,0.59,0.95,129.8,34.3,5.706,171,142.46,429.61,75.56,1.46
Common Carp,50.5,1197,61.9,23.7,27.6,6.75,7.05,0.61,0.73,178.9,29.1,1.541,233,118.04,103.13,72.99,1.79
Mrigal,12.7,8921,47.6,702.44,25.3,6.92,5.06,0.97,0.26,119.1,25.4,8.748,163,78.4,548.34,78.4,1.66
Common Carp,38.5,3545,29.8,92.08,26.6,6.99,5.74,0.8,0.63,132.5,28.5,2.652,154,49.81,133.85,75.8,1.87
Tilapia,89.2,3228,64.4,36.19,29.3,7.68,5.57,0.05,0.52,99.7,28.4,5.675,197,151.34,420.82,86.14,1.26
Rohu,23.4,6416,57.9,274.19,26.3,6.78,6.55,0.09,0.59,82.9,33.5,10.587,208,98.87,470.17,74.12,1.9
Tilapia,62.5,1322,16.0,21.15,24.0,6.51,5.75,0.33,0.51,101.8,29.0,0.588,156,30.69,33.04,81.44,1.26
Magur,7.5,9082,71.6,1210.93,25.7,6.87,3.94,0.97,0.35,94.4,30.5,9.819,234,141.42,892.36,69.48,1.71
Thai Koi,52.8,7668,64.5,145.23,27.7,8.1,6.05,0.24,0.84,101.3,26.7,9.1,116,103.08,665.79,84.23,1.52
Silver Carp,45.7,5838,46.7,127.75,29.6,8.18,4.42,0.84,0.58,104.3,28.5,6.434,102,67.97,297.83,75.06,1.83
Mrigal,27.2,8892,22.1,326.91,30.6,7.82,6.86,0.48,0.77,117.9,27.3,4.284,118,32.17,214.79,75.08,1.7
Common Carp,7.9,2489,38.8,315.06,25.0,7.58,5.16,0.85,0.71,111.2,25.2,2.038,93,51.78,89.81,69.69,1.66
Koi,17.1,2492,17.3,145.73,27.4,7.86,3.95,0.29,0.24,149.3,34.6,0.948,102,25.57,54.26,85.17,1.42
Tilapia,50.9,9870,44.0,193.91,26.6,6.51,4.64,0.9,0.16,135.3,28.6,11.769,104,67.45,504.88,75.84,1.54
Catla,12.9,9541,40.3,739.61,31.2,8.22,4.42,0.12,0.15,137.1,28.2,6.19,203,76.28,567.86,78.03,1.73
Rohu,79.8,4238,78.9,53.11,25.5,7.17,6.34,0.16,0.14,76.4,30.8,9.396,175,140.9,555.89,93.09,1.71
Magur,25.1,9270,52.5,369.32,30.1,8.15,5.79,0.47,0.17,72.3,30.0,12.07,166,99.0,760.24,82.84,1.68
Silver Carp,5.3,4570,71.8,862.26,26.4,8.39,5.39,0.93,0.7,163.3,32.7,9.713,93,93.81,267.82,62.47,1.85
Pangasius,79.7,1625,47.5,20.39,29.1,6.83,5.74,0.78,0.33,168.9,27.7,1.853,119,81.02,114.59,87.04,1.31
Thai Koi,32.1,639,47.5,19.91,24.1,8.13,3.81,0.15,0.64,126.4,31.9,0.716,139,78.49,39.05,77.85,1.77
Pangasius,26.3,1456,32.2,55.36,27.4,7.19,5.88,0.61,0.82,149.0,34.7,1.397,117,52.87,58.97,76.6,1.68
Koi,36.9,6611,33.0,179.16,26.2,7.63,7.4,1.15,0.74,86.2,28.8,3.971,218,60.45,245.43,61.41,1.52
Shing,51.5,4908,71.1,95.3,31.3,7.29,7.38,0.92,0.52,111.4,33.3,7.642,95,98.98,368.82,75.92,1.76
Tilapia,63.1,9548,68.2,151.32,30.1,7.71,3.56,0.37,0.61,159.5,25.2,13.675,106,106.26,707.97,69.78,1.42
Common Carp,89.1,7929,8.8,88.99,27.2,7.45,4.6,0.17,0.22,126.7,25.3,1.821,238,19.45,137.73,89.33,1.59
Magur,13.7,5787,35.9,422.41,24.1,8.42,7.0,0.51,0.74,92.1,31.6,4.945,228,67.65,247.69,63.27,1.74
Thai Koi,66.9,4980,76.6,74.44,32.0,8.07,4.86,1.02,0.77,90.0,33.2,6.599,143,118.06,404.21,68.75,1.74
Mrigal,41.2,3344,12.3,81.17,25.3,7.96,4.93,0.28,0.72,96.7,27.2,0.642,166,20.14,55.8,82.87,1.62
Koi,11.4,3227,28.6,283.07,27.5,8.16,5.16,0.67,0.17,74.9,28.7,1.772,172,51.44,126.45,76.18,1.67
Koi,52.2,2563,55.8,49.1,26.2,8.45,4.28,0.78,0.14,152.5,26.1,2.488,175,109.99,227.95,80.86,1.41
Tilapia,73.9,4887,37.5,66.13,31.4,7.98,5.52,1.0,0.76,159.1,32.8,3.519,136,69.27,261.81,77.34,1.57
Koi,75.3,1266,10.8,16.81,24.1,6.88,4.56,0.54,0.2,107.6,26.5,0.403,158,20.3,21.24,82.66,1.55
Pabda,45.5,7094,24.0,155.91,29.2,7.07,6.03,1.14,0.63,132.0,33.5,3.269,141,34.08,147.29,60.93,1.78
Catla,82.0,2359,11.8,28.77,25.4,6.77,7.25,0.85,0.05,119.2,33.5,0.448,148,18.82,34.21,77.06,1.67
Pabda,39.2,5786,28.8,147.6,29.4,7.58,4.65,0.76,0.17,172.7,31.0,4.366,90,42.56,204.76,83.16,1.62
Magur,58.6,1240,38.3,21.16,24.6,6.9,5.36,0.92,0.26,144.3,26.1,1.183,226,84.85,88.19,83.81,1.48
Silver Carp,94.7,1497,76.5,15.81,29.8,7.23,7.06,0.73,0.16,153.2,26.3,3.241,163,127.79,157.84,82.51,1.79
Thai Koi,79.6,9410,58.2,118.22,29.5,7.06,6.79,1.18,0.62,165.8,31.6,9.967,234,119.91,754.88,66.9,1.7
Catla,68.0,6690,74.3,98.38,24.5,6.66,5.62,1.05,0.5,156.4,25.4,11.83,154,119.61,551.1,68.87,1.77
Tilapia,97.9,3663,43.3,37.42,30.5,7.4,4.79,0.63,0.35,166.3,30.9,3.743,146,83.15,259.06,85.06,1.33
Mrigal,62.2,5842,69.6,93.92,27.0,7.9,5.27,0.84,0.37,173.8,33.7,9.027,120,99.79,488.86,83.86,1.53
Rohu,58.4,8646,70.5,148.05,27.1,6.6,6.92,0.26,0.39,130.8,31.4,11.52,96,95.97,714.84,86.15,1.74
Gulsha,69.0,8800,19.2,127.54,27.0,7.86,6.17,0.21,0.28,177.7,34.2,3.514,220,42.09,329.35,88.91,1.46
Catla,84.9,8552,29.4,100.73,31.2,6.92,5.73,0.71,0.77,152.8,27.6,7.317,173,51.09,333.27,76.28,1.78
Shing,61.7,2667,24.2,43.23,26.3,7.09,6.72,0.05,0.27,157.0,27.9,1.33,96,35.39,87.61,92.83,1.46
Rohu,33.3,8897,66.8,267.18,27.3,7.54,6.52,0.51,0.8,126.7,34.1,11.411,95,86.33,537.41,69.97,1.65
Silver Carp,13.7,2489,54.6,181.68,25.3,6.82,7.26,0.37,0.58,109.0,26.0,3.017,100,76.98,141.06,73.62,1.86
Gulsha,61.7,5683,20.0,92.11,31.6,6.65,6.56,0.15,0.64,150.5,28.7,2.569,147,33.77,150.53,78.43,1.55
Pangasius,87.4,2355,74.5,26.95,24.5,7.48,6.56,0.73,0.28,147.2,26.3,4.386,227,183.93,369.91,85.4,1.58
Common Carp,16.0,9184,53.7,574.0,30.9,7.18,7.36,0.65,0.69,89.9,27.8,12.773,132,81.04,523.29,70.31,1.72
Silver Carp,58.5,4238,41.0,72.44,24.3,7.32,4.69,0.25,0.29,124.2,29.6,4.883,212,82.78,315.17,89.84,1.71
Koi,14.7,9386,27.9,638.5,28.1,7.4,6.35,0.42,0.75,173.3,30.0,7.751,231,58.59,427.66,77.77,1.7
Mrigal,9.0,1644,19.9,182.67,24.2,7.97,5.32,0.97,0.56,96.4,25.3,0.674,180,32.73,36.95,68.67,1.73
Tilapia,34.9,3967,37.6,113.67,29.4,8.07,7.4,0.67,0.24,165.4,28.2,3.729,212,87.49,298.43,85.99,1.5
Pangasius,89.3,5776,72.9,64.68,24.3,8.01,5.83,0.99,0.75,111.3,29.6,11.622,210,151.33,694.04,79.4,1.48
Thai Koi,62.2,9284,24.8,149.26,26.3,7.08,5.4,1.02,0.98,160.8,28.9,6.792,224,49.61,322.12,69.94,1.72
Common Carp,61.5,3813,57.2,62.0,24.1,7.13,6.33,0.61,0.17,75.8,25.5,5.627,188,104.96,336.5,84.08,1.6
Mrigal,89.4,1512,59.3,16.91,26.5,7.56,4.24,0.62,0.37,115.3,34.7,2.376,120,92.52,119.09,85.13,1.76
Thai Koi,24.1,4242,32.2,176.02,30.6,7.4,4.16,1.09,0.19,146.7,27.5,2.445,134,49.4,144.7,69.05,1.57
Common Carp,72.5,5698,71.7,78.59,28.6,8.32,6.2,0.75,0.43,117.3,34.9,11.235,142,111.23,498.3,78.62,1.68
Pangasius,59.1,336,74.5,5.69,29.2,6.66,6.62,0.35,0.49,118.8,32.1,0.443,183,165.51,48.99,88.09,1.58
Gulsha,66.2,6775,47.9,102.34,32.0,6.84,5.63,0.25,0.84,163.1,34.8,8.47,152,78.05,443.42,83.85,1.72
Mrigal,69.8,3423,60.1,49.04,27.3,7.81,7.43,0.85,0.97,70.5,29.3,3.641,162,93.68,249.67,77.86,1.69
Thai Koi,14.0,2794,13.4,199.57,24.2,7.54,5.34,0.33,0.3,139.6,28.9,1.041,229,28.55,68.35,85.67,1.53
Silver Carp,67.5,5406,70.3,80.09,29.1,8.27,7.39,0.29,0.3,162.2,29.9,8.057,164,121.71,552.34,83.95,1.78
Gulsha,33.4,9680,52.0,289.82,29.7,7.08,4.45,0.4,0.3,148.3,33.9,13.087,103,74.34,593.88,82.53,1.65
Thai Koi,47.0,7532,78.0,160.26,24.8,7.39,4.99,0.27,0.89,122.9,33.1,15.334,214,159.47,912.62,75.98,1.56
Shing,32.8,6546,8.5,199.57,29.6,7.29,5.95,1.1,0.64,146.6,34.5,1.018,173,14.05,55.17,60,1.59
Gulsha,80.6,2959,62.2,36.71,31.6,6.67,5.58,0.71,0.1,133.1,33.1,4.785,232,123.47,286.22,78.34,1.5
Koi,97.7,9125,51.1,93.4,26.9,6.57,4.2,0.83,0.51,161.5,33.2,12.31,192,92.85,618.64,73.02,1.71
Gulsha,55.1,3237,75.4,58.75,30.2,7.82,7.45,0.5,0.39,100.5,33.1,7.176,134,132.21,389.93,91.11,1.53
Mrigal,70.4,3310,52.5,47.02,24.6,7.13,6.81,0.52,0.34,102.3,25.1,4.084,164,92.45,261.66,85.51,1.74
Rohu,10.0,5198,38.9,519.8,27.1,7.27,7.01,0.68,0.16,102.4,30.3,4.61,158,65.25,268.19,79.07,1.84
Koi,46.2,5745,59.8,124.35,26.9,8.37,4.33,1.04,0.76,166.2,31.8,6.115,150,91.11,341.64,65.27,1.51
Pangasius,5.1,3662,72.7,718.04,30.5,7.85,6.98,0.78,0.69,101.2,27.3,4.819,106,110.29,286.64,70.97,1.56
Silver Carp,71.2,7899,57.9,110.94,26.4,7.42,3.81,0.57,0.08,140.1,31.8,7.089,208,99.16,588.69,75.16,1.73
Shing,79.7,3994,64.8,50.11,28.9,7.64,3.96,0.11,0.76,113.3,28.8,6.729,113,95.57,298.06,78.09,1.65
Catla,92.5,7193,57.8,77.76,30.0,7.55,6.08,1.13,0.15,170.0,25.4,10.144,236,107.87,572.99,73.85,1.84
Rohu,75.9,2967,72.1,39.09,28.7,8.41,3.72,1.11,0.15,129.8,32.2,3.722,123,104.35,195.74,63.22,1.81
Mrigal,71.6,2603,70.1,36.35,26.3,7.5,7.22,0.47,0.9,79.5,32.2,4.288,117,104.47,232.6,85.53,1.7
